Index,Gaiola,Machos,Femeas,Crias,Total,Utilizacao,Observacoes,Data
1,Gaiola-1,0,13,0,13,Engorda,,03_12_2021
2,Gaiola-2,7,0,0,7,Engorda,,03_12_2021
3,Gaiola-3,0,17,0,17,Engorda,,03_12_2021
4,Gaiola-4,9,0,0,9,Engorda,,03_12_2021
5,Gaiola-5,0,14,0,14,Engorda,,03_12_2021
6,Gaiola-6,7,0,0,7,Engorda,,03_12_2021
7,Gaiola-7,5,0,0,5,Engorda,,03_12_2021
14,Gaiola-14,0,6,0,6,Engorda,,03_12_2021
15,Gaiola-15,3,0,0,3,Engorda,,03_12_2021
16,Gaiola-16,0,6,0,6,Engorda,,03_12_2021
23,Gaiola-23,6,0,0,6,Engorda,,03_12_2021
24,Gaiola-24,1,1,0,2,Cruzamento,,03_12_2021
