N,Gaiola,Machos,Femeas,Crias,Total,Utilizacao,Observacoes,Data
1,Gaiola-1,0,16,0,16,Engorda,Nenhuma,14_08_2021
2,Gaiola-2,6,0,0,6,Engorda,Nenhuma,14_08_2021
3,Gaiola-3,0,12,5,17,Amamentacao,Nenhuma,14_08_2021
4,Gaiola-4,5,0,0,5,Engorda,Nenhuma,14_08_2021
5,Gaiola-5,0,8,9,17,Amamentacao,Nenhuma,14_08_2021
6,Gaiola-6,0,4,0,4,Engorda,Nenhuma,14_08_2021
7,Gaiola-7,9,0,0,9,Engorda,Nenhuma,14_08_2021
8,Gaiola-8,4,0,0,4,Engorda,Nenhuma,14_08_2021
9,Gaiola-9,9,0,0,9,Engorda,Nenhuma,14_08_2021
10,Gaiola-10,0,4,0,4,Engorda,Nenhuma,14_08_2021
11,Gaiola-11,0,3,0,3,Engorda,Nenhuma,14_08_2021
12,Gaiola-13,2,0,0,2,Engorda,Nenhuma,14_08_2021
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
