Canister,Canister-Level,Caixa,Posicao do Criotubo,Isolado,Data de colheita,Local,Crioprotector,Data de criopreservacao
Canister - 9, Posicao - 10,Caixa - 10,24,,,,,
Canister - 9, Posicao - 10,Caixa - 10,25,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,1,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,2,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,3,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,4,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,5,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,6,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,7,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,8,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,9,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,10,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,11,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,12,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,13,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,14,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,15,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,16,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,17,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,18,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,19,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,20,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,21,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,22,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,23,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,24,,,,,
Canister - 10, Posicao - 1 ,Caixa - 1,25,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,1,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,2,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,3,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,4,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,5,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,6,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,7,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,8,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,9,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,10,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,11,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,12,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,13,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,14,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,15,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,16,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,17,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,18,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,19,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,20,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,21,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,22,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,23,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,24,,,,,
Canister - 10, Posicao - 2 ,Caixa - 2,25,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,1,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,2,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,3,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,4,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,5,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,6,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,7,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,8,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,9,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,10,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,11,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,12,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,13,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,14,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,15,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,16,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,17,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,18,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,19,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,20,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,21,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,22,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,23,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,24,,,,,
Canister - 10, Posicao - 3 ,Caixa - 3,25,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,1,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,2,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,3,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,4,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,5,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,6,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,7,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,8,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,9,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,10,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,11,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,12,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,13,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,14,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,15,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,16,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,17,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,18,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,19,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,20,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,21,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,22,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,23,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,24,,,,,
Canister - 10, Posicao - 4 ,Caixa - 4,25,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,1,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,2,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,3,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,4,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,5,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,6,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,7,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,8,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,9,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,10,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,11,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,12,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,13,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,14,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,15,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,16,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,17,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,18,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,19,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,20,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,21,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,22,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,23,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,24,,,,,
Canister - 10, Posicao - 5 ,Caixa - 5,25,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,1,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,2,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,3,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,4,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,5,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,6,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,7,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,8,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,9,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,10,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,11,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,12,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,13,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,14,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,15,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,16,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,17,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,18,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,19,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,20,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,21,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,22,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,23,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,24,,,,,
Canister - 10, Posicao - 6 ,Caixa - 6,25,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,1,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,2,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,3,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,4,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,5,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,6,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,7,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,8,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,9,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,10,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,11,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,12,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,13,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,14,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,15,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,16,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,17,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,18,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,19,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,20,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,21,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,22,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,23,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,24,,,,,
Canister - 10, Posicao - 7 ,Caixa - 7,25,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,1,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,2,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,3,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,4,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,5,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,6,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,7,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,8,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,9,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,10,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,11,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,12,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,13,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,14,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,15,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,16,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,17,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,18,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,19,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,20,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,21,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,22,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,23,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,24,,,,,
Canister - 10, Posicao - 8 ,Caixa - 8,25,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,1,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,2,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,3,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,4,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,5,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,6,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,7,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,8,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,9,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,10,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,11,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,12,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,13,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,14,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,15,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,16,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,17,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,18,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,19,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,20,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,21,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,22,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,23,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,24,,,,,
Canister - 10, Posicao - 9 ,Caixa - 9,25,,,,,
Canister - 10, Posicao - 10,Caixa - 10,1,,,,,
Canister - 10, Posicao - 10,Caixa - 10,2,,,,,
Canister - 10, Posicao - 10,Caixa - 10,3,,,,,
Canister - 10, Posicao - 10,Caixa - 10,4,,,,,
Canister - 10, Posicao - 10,Caixa - 10,5,,,,,
Canister - 10, Posicao - 10,Caixa - 10,6,,,,,
Canister - 10, Posicao - 10,Caixa - 10,7,,,,,
Canister - 10, Posicao - 10,Caixa - 10,8,,,,,
Canister - 10, Posicao - 10,Caixa - 10,9,,,,,
Canister - 10, Posicao - 10,Caixa - 10,10,,,,,
Canister - 10, Posicao - 10,Caixa - 10,11,,,,,
Canister - 10, Posicao - 10,Caixa - 10,12,,,,,
Canister - 10, Posicao - 10,Caixa - 10,13,,,,,
Canister - 10, Posicao - 10,Caixa - 10,14,,,,,
Canister - 10, Posicao - 10,Caixa - 10,15,,,,,
Canister - 10, Posicao - 10,Caixa - 10,16,,,,,
Canister - 10, Posicao - 10,Caixa - 10,17,,,,,
Canister - 10, Posicao - 10,Caixa - 10,18,,,,,
Canister - 10, Posicao - 10,Caixa - 10,19,,,,,
Canister - 10, Posicao - 10,Caixa - 10,20,,,,,
Canister - 10, Posicao - 10,Caixa - 10,21,,,,,
Canister - 10, Posicao - 10,Caixa - 10,22,,,,,
Canister - 10, Posicao - 10,Caixa - 10,23,,,,,
Canister - 10, Posicao - 10,Caixa - 10,24,,,,,
Canister - 10, Posicao - 10,Caixa - 10,25,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,1,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,2,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,3,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,4,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,5,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,6,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,7,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,8,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,9,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,10,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,11,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,12,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,13,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,14,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,15,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,16,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,17,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,18,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,19,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,20,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,21,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,22,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,23,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,24,,,,,
Canister - 11, Posicao - 1 ,Caixa - 1,25,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,1,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,2,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,3,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,4,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,5,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,6,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,7,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,8,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,9,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,10,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,11,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,12,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,13,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,14,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,15,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,16,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,17,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,18,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,19,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,20,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,21,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,22,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,23,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,24,,,,,
Canister - 11, Posicao - 2 ,Caixa - 2,25,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,1,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,2,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,3,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,4,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,5,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,6,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,7,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,8,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,9,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,10,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,11,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,12,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,13,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,14,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,15,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,16,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,17,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,18,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,19,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,20,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,21,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,22,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,23,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,24,,,,,
Canister - 11, Posicao - 3 ,Caixa - 3,25,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,1,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,2,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,3,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,4,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,5,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,6,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,7,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,8,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,9,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,10,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,11,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,12,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,13,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,14,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,15,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,16,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,17,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,18,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,19,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,20,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,21,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,22,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,23,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,24,,,,,
Canister - 11, Posicao - 4 ,Caixa - 4,25,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,1,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,2,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,3,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,4,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,5,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,6,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,7,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,8,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,9,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,10,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,11,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,12,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,13,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,14,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,15,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,16,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,17,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,18,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,19,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,20,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,21,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,22,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,23,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,24,,,,,
Canister - 11, Posicao - 5 ,Caixa - 5,25,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,1,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,2,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,3,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,4,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,5,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,6,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,7,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,8,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,9,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,10,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,11,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,12,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,13,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,14,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,15,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,16,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,17,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,18,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,19,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,20,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,21,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,22,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,23,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,24,,,,,
Canister - 11, Posicao - 6 ,Caixa - 6,25,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,1,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,2,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,3,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,4,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,5,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,6,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,7,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,8,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,9,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,10,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,11,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,12,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,13,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,14,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,15,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,16,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,17,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,18,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,19,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,20,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,21,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,22,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,23,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,24,,,,,
Canister - 11, Posicao - 7 ,Caixa - 7,25,,,,,
Canister - 11, Posicao - 8 ,Caixa - 8,1,,,,,
Canister - 11, Posicao - 8 ,Caixa - 8,2,,,,,
Canister - 11, Posicao - 8 ,Caixa - 8,3,,,,,
Canister - 11, Posicao - 8 ,Caixa - 8,4,,,,,
Canister - 11, Posicao - 8 ,Caixa - 8,5,,,,,
Canister - 11, Posicao - 8 ,Caixa - 8,6,,,,,
Canister - 11, Posicao - 8 ,Caixa - 8,7,,,,,
Canister - 11, Posicao - 8 ,Caixa - 8,8,,,,,
Canister - 11, Posicao - 8 ,Caixa - 8,9,,,,,
Canister - 11, Posicao - 8 ,Caixa - 8,10,,,,,
